ID,SMILES
000,ClC1=CN=C(C=O)C=C1
001,CC1=CC=CC(C=O)=N1
002,O=CC1=CC=CC(C=O)=N1
003,O=CC1=NC2=C(C=CC=C2)C=C1
004,CC1=C(C=O)N=CC=C1
005,CC(C)(C)OC(=O)NC1=CC=CN=C1C=O
006,NC1=C(C=O)N=CC=C1
007,CC1=CC(Br)=CN=C1C=O
008,COC1=C(C)C=NC(C=O)=C1C
009,FC1=C(C=O)N=C(Br)C=C1
010,BrC1=C(C=O)N=CC=C1
011,FC(F)(F)C1=C(C=O)N=CC=C1
012,ClC1=CC=CN=C1C=O
013,FC1=C(C=O)N=CC=C1
014,FC1=CC=C(C=O)N=C1
015,CN(C)C1=CC(=CN=C1C=O)B1OC(C)(C)C(C)(C)O1
016,CC1(C)OB(OC1(C)C)C1=CC=C(C=O)N=C1
017,COC1=C(C=O)N=CC=C1
018,FC(F)(F)C1=CN=C(C=O)C=C1
019,BrC1=NC(C=O)=CC=C1
020,BrC1=CC=NC(C=O)=C1
021,ClC1=CC(C=O)=NC=C1
022,O=CC1=NC=CC(=C1)N(=O)=O
023,COC(=O)C1=CC=CC(C=O)=N1
024,BrC1=CC=C(C=O)N=C1
025,OC1=C2N=C(C=O)C=CC2=CC=C1
026,O=CC1=NC=C(C=C1)C#N
027,COC(=O)C1=CC=C(C=O)N=C1
028,ClC1=CC=C(Cl)C(C=O)=N1
029,ClC1=C(C=O)N=C2NC=C(I)C2=C1
030,BrC1=CN=C(C=O)C(=C1)N(=O)=O
031,COC1=CC=C(Br)C(C=O)=N1
032,O=CC1=NC(=CC=C1)N1CCOCC1
033,COC1=CC(C=O)=NC=C1
034,O=CC1=C(C=CC=N1)N(=O)=O
035,COCC1=CC=CC(C=O)=N1
036,FC(F)(F)C1=CC=CC(C=O)=N1
037,OC1=C(I)C=C(C=O)N=C1Br
038,O=CC1=CC2=C(OC=C2)C=N1
039,O=CC1=CC=C2C=CNC2=N1
040,CCOC1=CC(C=O)=NC=C1
041,FC1=C(C=O)N=C2NC=C(I)C2=C1Cl
042,COC1=CC=C(Br)N=C1C=O
043,ClC1=NC(C=O)=CC=C1
044,ClC1=C(C=O)N=C2OCCOC2=C1
045,CC1=CC=C(Cl)N=C1C=O
046,OC1=CN=C(C=O)C=C1
047,ClC1=CC(Cl)=C(C=O)N=C1
048,FC1=CN=C(C=O)C(Cl)=C1
049,O=CC1=CC2=C(OCCO2)C=N1
050,FC1=CC(Cl)=CN=C1C=O
051,CC(C)(C)OC(=O)NC1=CC=C(Cl)N=C1C=O
052,FC(F)(F)C1=CC=C(Cl)N=C1C=O
053,ClC1=CC=C2N=C(C=O)C=CC2=C1
054,FC1=CC(C=O)=NC=C1
055,ClC1=CC=C(Br)C(C=O)=N1
056,FC1=C(C=O)N=C(Cl)C=C1
057,BrC1=CC=C2N=C(C=O)C=CC2=C1
058,FC1=C2N=C(C=O)C=CC2=CC=C1
059,O=CC1=NC(=CC=C1)C#N
060,CCC1=CC=C(C=O)N=C1
061,CC1=CC(C=O)=NC=C1Br
062,CCOC(=O)C1=CC(C=O)=NC=C1
063,ClC1=C2N=C(C=O)C=CC2=CC=C1
064,OCC1=CC(C=O)=NC=C1
065,BrC1=C2N=C(C=O)C=CC2=CC=C1
066,O=CC1=CC(=CC=N1)C#N
067,FC1(F)CCN(CC1)C1=CN=C(C=O)C=C1
068,COC1=C(Cl)N=C(C=O)C=C1
069,CCOC1=CN=C(C=O)C=C1
070,CC1=NC(C=O)=CC=C1F
071,O=CC1=CC=C(C=N1)N(=O)=O
072,ClC1=C(C=O)N=C2C=CC=CC2=C1
073,O=CC1=NC=CC2=C1NC1=CC=CC=C21
074,FC1=CC=C(C(F)=C1)C1=CC=CC(C=O)=N1
075,FC1=CC=C2N=C(C=O)C=CC2=C1
076,O=CC1=NC2=NC=CC=C2C=C1
077,ClC1=CC(C=O)=NC2=CC=C(Br)C=C12
078,O=CC1=CC(C=O)=NC=C1
079,FC(F)(F)C1=CC(C=O)=NC=C1
080,COC(=O)C1=CC=NC(C=O)=C1
081,ClC1=CC(=CN=C1C=O)N(=O)=O
082,COC1=C(Br)N=C(C=O)C=C1
083,OC(=O)C1=CC=NC(C=O)=C1
084,NC1=NC(C=O)=CC=C1
085,CNC1=CC=C(C=C1)C1=CC=CC(C=O)=N1
086,ClC1=CC=C2C=CC(C=O)=NC2=C1
087,CC1=CC=C2N=C(C=O)C=CC2=C1
088,O=CC1=CC2=C(OCCC2)C=N1
089,O=CC1=NC2=C(OCCO2)C=C1
090,O=CC1=NC2=CC=C(C=C2C=C1)N(=O)=O
091,COC1=CC=CC2=C1N=C(C=O)C=C2
092,FC(F)(F)C1=CN=C(C=O)C(Cl)=C1
093,CCC1=NC(C=O)=CC=C1
094,ClC1=CN=C(C=O)C(Br)=C1
095,CC1=CN=C(C=O)C=C1Br
096,FC1=CC(=CN=C1C=O)C(F)(F)F
097,FC(F)(F)C1=CN=C(C=O)C(Br)=C1
098,FC1=CN=C(C=O)C(F)=C1
099,CC1=C(C=CC(C=O)=N1)N(=O)=O
100,O=CC1=C(C=CC=N1)C#N
101,CC1=NC(C=O)=CC=C1Br
102,CC1=CC(C=O)=NC=C1N(=O)=O
103,NC1=CC(Br)=CN=C1C=O
104,OC1=C(Br)N=C(C=O)C=C1
105,FCC1=NC(C=O)=CC=C1
106,FC(F)(F)OC1=CC=C(C=C1)C1=CC=CC(C=O)=N1
107,O=CC1=CC=CC(=N1)C1=NC=CC=C1
108,O=CC1=NC=C2NC=CC2=C1
109,ClC1=C(Br)N=C(C=O)C=C1
110,CC1=C(Cl)C(C=O)=NC=C1
111,CC(C)(C)OC(=O)NC1=CC=CC(C=O)=N1
112,OC(=O)C1=CC=CC(C=O)=N1
113,FC1=CC(C=O)=NC(Br)=C1
114,CC1=CC(Cl)=CC(C=O)=N1
115,CC1=CC=C(F)C(C=O)=N1
116,FC1=CC(Br)=CN=C1C=O
117,BrC1=CC2=CC=CC=C2N=C1C=O
118,CN(C)C1=CC(Br)=CN=C1C=O
119,CC(C)(C)OC(=O)NC1=C(C=O)C=C(Cl)N=C1C=O
120,CC(=O)NC1=CC=C2N=C(C=O)C=CC2=C1
121,CC1=CC=C(C=C1)S(=O)(=O)OC1=CC=CC2=C1N=C(C=O)C=C2
122,O=CC1=CC=C2C=CC=C(OCC3=CC=CC=C3)C2=N1
123,O=CC1=NC2=C(C=C1)C=CC1=C2N=C(C=O)C=C1
124,OC1=CC=C(C2=C1N=C(C=O)C=C2)N(=O)=O
125,CC1=CC(C)=C2C=CC(C=O)=NC2=C1O
126,C[Si](C)(C)C1=CC(Cl)=NC(C=O)=C1F
127,COC(OC)C1=CC=CC(C=O)=N1
128,O=CC1=CC2=CC=CC=C2C=N1
129,CC1=CC=C(C=O)N=C1
130,CSC1=C(C=CC(C=O)=N1)C#N
131,CC1=CC=NC(C=O)=C1
132,COC1=CC=C(Cl)C(C=O)=N1
133,OCC1=CC=CC(C=O)=N1
134,OC1=CC=CN=C1C=O
135,O=CC1=NC(=CC=C1)C1=CC=CS1
136,ClC1=CC=C(C=C1)C1=CC=CC(C=O)=N1
137,FC1=CC=C(C=C1)C1=CC=CC(C=O)=N1
138,O=CC1=CC=CC(=N1)C1=CSC=C1
139,CC(C)(C)C(=O)NC1=CC=C(C=O)N=C1Cl
140,COC1=CC(Br)=CN=C1C=O
141,COC1=C(OC)N=C(C=O)C=C1
142,CC(C)(C)C(=O)N1CCOC2=NC(C=O)=CC=C12
143,FC1=C(C=O)N=C2NC=CC2=C1
144,COC1=C(NC(=O)C(C)(C)C)C=CN=C1C=O
145,COC1=NC(C=O)=CC=C1
146,O=CC1=NC=C(C=C1)C#C
147,COC1=CN=C(C=O)C=C1
148,FC1=C(C=O)N=C2NC=CC2=C1Cl
149,BrC1=C(OCC2=CC=CC=C2)C=CC(C=O)=N1
150,CC1=C(C=O)N=C2OCCN(C(=O)C(C)(C)C)C2=C1
151,ClC1=C(C=O)N=C2NC=CC2=C1
152,FC1=NC(C=O)=CC=C1
153,CCOC(=O)C1=NC(C=O)=CC=C1
154,O=CC1=C2C=CC=CC2=CC=N1
155,O=CC1=NC=CC=C1
156,O=CC1=CC2=C(C=CC=C2C=N1)N(=O)=O
157,COC1=CC(C=O)=NC(C)=C1
158,BrC1=CC2=C(C=C1)C=CC(C=O)=N2
159,CCOC1=NC(C=O)=CC=C1
160,BrC1=CC(Br)=C(C=O)N=C1
161,O=CC1=NC=C(C=C1)C1CC1
162,O=CC1=NC=C2OCOC2=C1
163,BrC1=NC(C=O)=C(Br)C=C1
164,CC1=C(C=O)N=C(Br)C=C1
165,CC1=CC(C=O)=NC(Br)=C1
166,CC1=C(Br)N=C(C=O)C=C1
167,CC1=NC(C=O)=C(Br)C=C1
168,ClC1=C(Br)C=CC(C=O)=N1
169,FC1=NC(C=O)=C(Br)C=C1
170,Cl.OC1=C(C=O)N=CC=C1
171,FC1=C(C=O)N=C(Cl)C(Br)=C1
172,CC1=CC(C)=C(C=O)N=C1
173,OC(=O)C1=C(C=O)N=CC(Br)=C1
174,BrC1=C(C=CC(C=O)=N1)N(=O)=O
175,FC1=C(C=O)N=CC=C1Cl
176,COC(=O)C1=C(C=O)N=CC(Br)=C1
177,COC1=C(C)C=CC(C=O)=N1
178,COC1=C(O)C=C(C=O)N=C1
179,COC1=NC(C=O)=C(F)C=C1
180,FC(F)(F)C1=NC(C=O)=C(Br)C=C1
181,BrC1=C2C=CN=C(C=O)C2=CC=C1
182,O=CC1=NC2=C(CCC2)C=C1
183,COC1=C(C)C=C(C)C(C=O)=N1
184,COC(=O)C1=C(C=O)N=CC=C1
185,CC1=NC(C=O)=C(OC(F)F)C=C1
186,ClC1=CC2=C(C=CN=C2C=O)C=C1
187,CC(C)(C)OC(=O)NCC1=CC(C=O)=NC=C1
188,FC1=C(F)C2=C(C=C1)C=CC(C=O)=N2
189,C=CC1=CN=C(C=O)C=C1
190,FC1=C(Br)C=CC(C=O)=N1
191,CC(=C)C1=CN=C(C=O)C=C1
192,CN(C)C1=CN=C(C=O)C=C1
193,OC(=O)C1=CN=C(C=O)C=C1
194,OC(=O)C1=C(C=O)N=CC=C1
195,Cl.OC(=O)C1=C(C=O)N=CC=C1
196,OC(=O)C1=CC(F)=C(C=O)N=C1
197,CC1=C(C=O)N=CC(=C1)C(O)=O
198,ClS(=O)(=O)C1=CN=C(C=O)C=C1
199,COC1=NC(C=O)=C(C=C1)N(=O)=O
200,COC(=O)C1=CC(Cl)=C(C=O)N=C1
201,COC(=O)C1=CC(C)=C(C=O)N=C1
202,ClC1=C(C=O)N=CC(Br)=C1
203,O=CC1=NC=C(C=C1)N1CCCC1
204,C[Si](C)(C)C#CC1=C(C=O)N=CC=C1
205,O=CC1=NC=C(C=C1)C1=CC=NC=C1
206,O=CC1=NC=C(C=C1)N1CCNCC1
207,O=CC1=NC=C(C=C1)N1CCOCC1
208,CC1=NC=C(S1)C1=CN=C(C=O)C=C1
209,CC(C)(C)OC(=O)NC1=CC=C(C=C1)C1=NC(C=O)=CC=C1
210,CC1=C(C(O)=O)C2=C(C=CC=C2)N=C1C=O
211,Cl.OC(=O)C1=NC(C=O)=CC=C1
212,CC1=C(Br)C(C=O)=NC=C1
213,COC1=NSC(=C1)C1=CN=C(C=O)C=C1
214,FC(F)(F)C1=CC(C=O)=NC(Cl)=C1
215,CN1CCN(CC1)C1=CN=C(C=O)C=C1
216,O=CC1=NC2=C(C=CC=C2C=C1)N(=O)=O
217,CCOC1=C2N=C(C=O)C=CC2=CC=C1
218,FC1=C(C(Br)=CC=C1)C1=CN=C(C=O)C=C1
219,FC1=CC(=C(F)C=C1)C1=CN=C(C=O)C=C1
220,CC(=O)OC1=C2N=C(C=O)C=CC2=CC=C1
221,O=CC1=C2C=CC=NC2=C2C=CC=CC2=N1
222,OC1=C(OCC2=CC=CC=C2)C=NC(C=O)=C1
223,CC1=C(C=O)N=CC(F)=C1
224,CC1=C(O)C=CC(C=O)=N1
225,ClC1=CC(C=O)=NC(Cl)=C1
226,O=CC1=NC(=CC=C1)C#C
227,COC1=C(C=O)N=C(C)C=C1
228,FC(F)C1=CN=C(C=O)C=C1
229,ClC1=CC(C=O)=NC(C=O)=C1
230,FC(F)C1=NC(C=O)=CC=C1
231,CCOC(=O)C1CCN(CC1)C1=NC(C=O)=CC=C1
232,COC1=C(C=O)N=C(C=C1)C#C
233,CC(C)(C)C1=CC(C=O)=NC=C1
234,O=CC1=C2CCCCC2=CC=N1
235,O=CC1=NC=C(OC2CC2)C=C1
236,ClC1=CC2=C(C=C1)C(C=O)=NC=C2
237,C[Si](C)(C)C#CC1=NC(C=O)=CC=C1
238,O=CC1=NC=CC(=C1)C1=CC=CC=C1
239,CCC1=C2N=C(C=O)C=CC2=CC=C1
240,O=CC1=NC2=C(C=C1)C=CC(C=O)=N2
241,O=CC1=NC2=C(NN=C2)C=C1
242,OC(=O)C1=CC(O)=C(C=O)N=C1
243,CC1=C(C=O)N=C2C=CC=CC2=C1
244,BrC1=C(Br)C=C(C=O)N=C1
245,BrC1=C(Br)N=C(C=O)C=C1
246,FC1=C(C=O)N=CC=C1Br
247,OC1=C(C=O)N=CC(Br)=C1
248,COC1=CC(Cl)=C(C=O)N=C1
249,BrC1=C(C=O)N=C(C=C1)C#N
250,O=CC1=NC=C(C=C1)C1=NC=CC=C1
251,FC1=C(C=O)N=CC(=C1)N(=O)=O
252,CC(C)(C)C1=CN=C(C=O)C=C1
253,CC(F)(F)C1=NC(C=O)=CC=C1
254,FS(=O)(=O)C1=NC(C=O)=CC=C1
255,O=CC1=NC=C(C=C1)C1CCC1
256,FC1=C2N=C(C=O)C=CC2=CC=C1Br
257,CC(C)(C)OC(=O)NC1=CC(C=O)=NC=C1
258,FC(F)(F)C(F)(F)OC1=CN=C(C=O)C=C1
259,O=CC1=NC=C2NC3=C(C=CC=C3)C2=C1
260,COC1=NC(C=O)=C(NC(=O)OC(C)(C)C)C=C1
261,OC(=O)C1=CC=C(S1)C1=NC(C=O)=CC=C1
262,CC1=NC(C=O)=C(O)C=C1
263,O=CC1=C2C=CC=NC2=CC=N1
264,OC(=O)C1=C(C=O)N=C(C=C1)C(F)(F)F
265,OC(=O)C1=CC2=C(C=C1)N=C(C=O)C=C2
266,COC1=C(Br)C=CC(C=O)=N1
267,OC1=C(Cl)N=C(C=O)C=C1
268,COC1=C(C=O)N=CC(Cl)=C1
269,COC1=CC=C(N)C(C=O)=N1
270,ClC1=CC=C(Br)N=C1C=O
271,FC(F)(F)C1=CC=C(C=O)N=C1Cl
272,CC1=NC(C=O)=CC=C1C(F)(F)F
273,ClC1=C(C=CC(C=O)=N1)N(=O)=O
274,BrC1=CN=C(C=O)C2=CC=CC(=C12)N(=O)=O
275,OC1=CC(C=O)=NC=C1
276,Cl.OC1=CC(C=O)=NC=C1
277,FC1=CN=C(C=O)C(F)=C1Cl
278,CC(C)(C)OC(=O)N1CCCC2=CC=C(C=O)N=C12
279,COC1=CC2=C(C=CN=C2C=O)C=C1
280,[H]C(=O)C1=CC=CC(NC(=O)C(C)(C)C)=N1
281,[H]C(=O)C1=NC(=CC=C1)C1=CC=CC=C1
282,[H]C(=O)C1=NC2=CC=CC=C2C=C1C(=O)C1=CC=CO1
283,CC1=NC(C=O)=CC(=C1)C#N
284,O=CC1=NC2=C3C=CC=CC3=CC=C2C=C1
285,O=CC1=NC2=CC=CN=C2C=C1
286,O=CC1=NC2=CN=CC=C2C=C1
287,O=CC1=NC=CC=C1C1CC1
288,FC(F)(F)C1=C(C=O)N=CC(Br)=C1
289,FC(F)(F)C1=NC(C=O)=C(Cl)C=C1
290,FC1=C(C=O)N=C(C=C1)C(F)(F)F
291,OC1=CC2=CC=CC=C2N=C1C=O
292,COC1=CC2=CC=CC=C2N=C1C=O
293,O=CC1=CC=C2C=NC=CC2=N1
294,O=CC1=NC2=C(OCC(=O)N2)C=C1
295,COCCNC1=CC(NC(=O)N2CCCC3=CC(CN4CCOCC4=O)=C(C=O)N=C23)=NC=C1C#N
296,CC1=NC(C=O)=CC=C1Cl
297,ClC1=CN=C(C=O)C=C1Cl
298,CC1=CC(Br)=CC(C=O)=N1
299,CC1=CC(Cl)=CN=C1C=O
300,CC(C)OC1=NC(C=O)=CC=C1
301,COC(=O)C1=CC=C(C=O)N=C1Cl
302,CC(C)(O)C1=CC=CC(C=O)=N1
303,CC(C)(C)C1=CC=CC(C=O)=N1
304,FC1=C(Br)C=NC(C=O)=C1
305,ClC1=CC=C(C=O)N=C1Cl
306,CC1=C(Cl)C=NC(C=O)=C1
307,FC1=C(Cl)C=NC(C=O)=C1
308,O=CC1=CC=C2CCCNC2=N1
309,OB(O)C1=CC=C(C=O)N=C1
310,COCCNC1=CC(NC(=O)N2CCCC3=CC(CN4CCN(C)CC4=O)=C(C=O)N=C23)=NC=C1C#N
311,NC1=CC(C=O)=NC=C1
312,CC(=O)C1=CN=C(C=O)C=C1
313,COC1=CC=C2N=C(C=O)C=CC2=C1
314,CCC1=CC(C=O)=NC=C1Br
315,O=CC1=NC(=CC=C1)C1=CC(=CC=C1)C#N
316,O=CC1=NC=C(C=C1)C1=CC=CC=C1
317,[H]C(=O)C1=C(F)C=CC(F)=N1
318,OCC1=NC(C=O)=CC=C1OCC1=CC=CC=C1
319,O=CC1=NC=CC(OCC2=CC=CC=C2)=C1
320,CN(C)C1=CC=CC(C=O)=N1
321,O=CC1=CC=CC(=N1)C1=CC=CN=C1
322,FC1=CN=C(C=O)C(Br)=C1
323,O=CC1=CC=C2NC=CC2=N1
324,ClC1=CN=C(C=O)C(=C1)N(=O)=O
325,NC1=CC=C(Cl)N=C1C=O
326,OC1=CC=CC(C=O)=N1
327,O=CC1=NC(=CC=C1)N1CCCCC1
328,CC(C)(C)OC1=NC(C=O)=CC=C1
329,O=CC1=NC(=CC=C1)C1=CC=CO1
330,FC(F)(F)OC1=CC(=CC=C1)C1=CC=CC(C=O)=N1
331,FC(F)(F)C1=CC=C(C=C1)C1=CC=CC(C=O)=N1
332,CCOC(=O)C1=CC=C(C=O)N=C1
333,OCC1=CN=C(C=O)C=C1
334,CCOC1=CC=C2N=C(C=O)C=CC2=C1
335,OC1=CC(C=O)=NC2=CC=CC=C12
336,FC(F)OC1=CC=NC(C=O)=C1
337,CCOC(=O)C1=CC=CN=C1C=O
338,OC1=CC(Cl)=NC(C=O)=C1Cl
339,FC(F)OC1=CC(C=O)=NC=C1Cl
340,FC(F)OC1=CC=NC(C=O)=C1Cl
341,FC(F)(F)C1=CN=C(C=O)C(SC2=CC=C(Cl)C=C2)=C1
342,O=CC1=CC2=CC=CN=C2C=N1
343,O=CC1=NC=CC2=CC=CN=C12
344,O=CC1=NC=CC2=CC=NC=C12
345,O=CC1=NC=CC2=CN=CC=C12
346,O=CC1=NC=CC2=C1NC=C2
347,ClC1=NC(C=O)=CC(I)=C1OCC1=CC=CC=C1
348,ClC1=NC(C=O)=CC=C1OCC1=CC=CC=C1
349,CC1=CC(=CC(C=O)=N1)C(F)(F)F
350,FC(F)(F)C(F)(F)C1=CC=CC(C=O)=N1
351,CC1=CN=C(C=O)C(Br)=C1
352,C[Si](C)(C)C1=C(F)C(C=O)=NC=C1
353,CCOC1=CC(C=O)=NC=C1CC
354,COC1=CC(C=O)=NC=C1C
355,O=CC1=CC2=C(OCS2)C=N1
356,CC1=CC(C=O)=NC(C)=C1
357,OB(O)C1=C(Cl)C=C(C=O)N=C1
358,ClC1=CN=C(C=O)C(COC2CCCCO2)=C1
359,CCOC(=O)C1=CC(Br)=CN=C1C=O
360,CC1=CN=C(C=O)C(=C1)C(F)(F)F
361,ClC1=C(Br)C(C=O)=NC=C1
362,CCC1=CC(C)=CN=C1C=O
363,O=CC1=NC2=C(CCCC2)C=C1
364,COC1=CC=C(C=O)N=C1C
365,COC1=CN=C(C=O)C=C1Cl
366,FC1=CN=C(C=O)C2=C1C=CN2
367,O=CC1=C2C=CNC2=CC=N1
368,ClC1=CC2=C(C=CN2)N=C1C=O
369,NC1=C(Cl)N=C(C=O)C=C1
370,C=CC1=NC(C=O)=CC=C1
371,COC1=CC(=CN=C1C=O)C(F)(F)F
372,CC1=CC(N)=CC(C=O)=N1
373,O.OC(=O)C1=CC=CN=C1C=O
374,FC(F)(F)CCOC1=C(C=O)N=CC=C1
375,CC1=CC=C(C=O)N=C1C
376,CC1=CC(=CN=C1C=O)C(F)(F)F
377,COC1=C(C=O)N=CC(C)=C1
378,COC1=CN=C(C=O)C(C)=C1
379,FC1=C(Cl)C=C(C=O)N=C1
380,CC(C)OC1=CN=C(C=O)C=C1
381,FC1=CC(=C(C=O)N=C1)C(F)(F)F
382,CC(C)OC1=C(C=O)N=CC=C1
383,CC(C)(C)C1=C(C=O)N=CC=C1
384,CC(C)C1=C(C=O)N=CC=C1
385,FC(F)(F)OC1=CC=CN=C1C=O
386,O=CC1=NC=CC(=C1)N1CCCC1
387,COC1=C(Cl)C=CN=C1C=O
388,CC(C)C1=CC=CC(C=O)=N1
389,CCCOC1=C(C=O)N=CC=C1
390,CN1CCN(CC1)C1=CC=CC(C=O)=N1
391,FC1=CC=C(C=C1)C1=CC(C=O)=NC=C1
392,FC1=CN=C(C=O)C(=C1)N(=O)=O
393,CC1=CN=C(C=O)C(C)=C1Br
394,BrC1=CN=C(C=O)C2=CC=CC=C12
395,NC1=CN=C(C=O)C=C1
396,ClC1=CC(C=O)=NC(Br)=C1
397,O=CC1=CC=CC(=N1)C1=CC=NC=C1
398,O=CC1=NC=C(C=C1)C1=CN=CC=C1
399,CC1=CC(O)=CN=C1C=O
400,BrC1=C(C=O)N=CC(=C1)N(=O)=O
401,O=CC1=NC(=CC=C1)N(=O)=O
402,ClC1=CC2=CN=C(C=O)C=C2C=C1
403,O=CC1=NC2=C(SCC(=O)N2)C=C1
404,O=CC1=C(C=CC=N1)N1CCOCC1
405,CC(C)(C)OC(=O)N1CCN(CC1)C1=CN=C(C=O)C=C1
406,COC1=CC=C(C=C1)C1=CC(C=O)=NC=C1
407,CC1=CC=C(C=C1)C1=CC(C=O)=NC=C1
408,O=CC1=C(C=CC=N1)N1CCCC1
409,O=CC1=NC=C(C=C1)N1CCSC1
410,CN(C)C1CCN(CC1)C1=C(C=O)N=CC=C1
411,O=CC1=C(C=CC=N1)N1CCSC1
412,CN(C)C1CCN(CC1)C1=CN=C(C=O)C=C1
413,CC(C)(C)OC(=O)N1CCN(CC1)C1=C(C=O)N=CC=C1
414,FC(F)(F)C1=C2N=C(C=O)C=CC2=CC(Br)=C1
415,CN(C)C1=C2N=C(C=O)C=CC2=C(C=C1)N(=O)=O
416,FC1=C2C=CC(C=O)=NC2=C(Br)C=C1
417,IC1=CC=CC2=C1N=C(C=O)C=C2
418,CC1=C(C)C=C2N=C(C=O)C=CC2=C1
419,ClC1=C(C=CC(C=O)=N1)C#N
420,FC1=C(F)C2=C(C=C1)N=C(C=O)C=C2
421,COC1=C(Cl)C2=C(C=C1)N=C(C=O)C=C2
422,CC(C)(C)OC(=O)NC1=C2N=C(C=O)C=CC2=CC(F)=C1
423,ClC1=CC(Cl)=C(C2=C1C=CC(C=O)=N2)N(=O)=O
424,COC(=O)C1=C(C=O)N=C(C=C1)C#N
425,O=CC1=CC=CC(=N1)C1=NC(C=O)=CC=C1
426,NC1=C(F)C=CC2=C1C=CC(C=O)=N2
427,NC1=C2C=CC(C=O)=NC2=C(F)C=C1
428,CC1=C(F)C=C2C=CC(C=O)=NC2=C1
429,FC1=C2C=CC(C=O)=NC2=C(C=C1)N(=O)=O
430,CC1=CC(F)=C2N=C(C=O)C=CC2=C1N
431,CC1=C2C=CC(C=O)=NC2=C(Br)C=C1F
432,CC1=CC(F)=C(C2=C1N=C(C=O)C=C2)N(=O)=O
433,CC1=C(F)C2=C(C=C1)C=CC(C=O)=N2
434,CC1=CC(F)=C2N=C(C=O)C=CC2=C1N(=O)=O
435,FC1=C(Br)C2=C(C=C1)N=C(C=O)C=C2
436,FC1=C2N=C(C=O)C=CC2=C(Br)C=C1
437,CC1=CC(F)=C(N)C2=C1N=C(C=O)C=C2
438,CC1=CC(F)=C(Br)C2=C1N=C(C=O)C=C2
439,FC1=C(C2=C(C=C1)N=C(C=O)C=C2)N(=O)=O
440,FC1=C(Br)C2=C(C=C1)C=CC(C=O)=N2
441,CC1=C(F)C=C2C=CC(C=O)=NC2=C1Br
442,CC1=C(F)C=C2C=CC(C=O)=NC2=C1N(=O)=O
443,CC1=CC(N)=C2C=CC(C=O)=NC2=C1F
444,CC1=C(F)C=C(C2=C1C=CC(C=O)=N2)N(=O)=O
445,CC1=CC(=C2C=CC(C=O)=NC2=C1F)N(=O)=O
446,CC1=C(F)C=C(N)C2=C1C=CC(C=O)=N2
447,CC1=CC(F)=C2N=C(C=O)C=CC2=C1
448,CC1=CC(F)=C2N=C(C=O)C=CC2=C1Br
449,FC1=C(C2=C(C=C1)C=CC(C=O)=N2)N(=O)=O
450,NC1=C2N=C(C=O)C=CC2=C(F)C=C1
